Gender,Programme,Total,MCQ,Q1,Q2,Q3,Q4,Q5
1,2,52,30,8,4,8,2,0
1,2,53,39,4,4,4,2,0
1,4,71,36,8,2,14,9,2
2,4,75,33,8,8,12,10,4
2,1,83,45,8,8,12,8,2
2,1,55,33,8,6,2,6,0
2,1,78,39,8,6,13,10,2
1,1,87,48,8,6,14,8,3
2,1,80,42,6,6,14,10,2
2,1,71,36,8,2,13,10,2
2,1,77,42,6,4,14,9,2
1,4,43,27,0,2,12,2,0
1,4,63,27,8,4,12,10,2
1,1,65,33,4,6,14,8,0
2,1,79,42,8,6,14,8,1
2,1,83,45,8,4,14,10,2
2,1,60,24,8,4,14,8,2
2,1,83,39,8,6,14,10,6
2,4,64,36,8,4,6,8,2
2,4,43,27,8,2,4,2,0
2,4,54,30,8,8,8,0,0
2,4,41,24,6,0,2,9,0
1,4,47,27,8,2,2,8,0
1,4,44,30,8,2,4,0,0
2,4,77,45,8,6,14,4,0
2,4,53,24,8,0,14,7,0
1,1,83,48,6,6,7,10,6
1,4,60,39,4,4,13,0,0
2,4,53,33,8,0,8,4,0
2,4,45,15,6,2,10,10,2
1,4,49,21,4,2,14,8,0
1,4,41,27,8,0,2,4,0
2,4,71,39,8,2,14,5,3
1,4,62,27,8,4,14,8,1
1,4,62,33,4,2,14,9,0
1,1,75,42,8,2,14,8,1
2,2,47,18,8,2,14,5,0
2,4,66,30,8,6,14,8,0
2,1,76,45,8,6,6,9,2
1,2,38,24,0,0,14,0,0
1,1,47,24,8,4,4,7,0
2,2,50,30,6,0,14,0,0
1,2,65,45,8,0,12,0,0
1,1,63,39,8,2,12,2,0
1,4,62,33,4,4,10,10,1
2,4,40,21,8,2,7,0,2
2,1,70,36,8,2,14,9,1
2,4,39,27,4,2,6,0,0
2,4,41,21,2,0,14,4,0
2,4,43,27,6,2,8,0,0
2,2,54,30,6,0,14,4,0
2,2,75,42,6,8,11,6,2
1,4,68,30,8,6,12,10,2
1,1,74,39,8,6,12,7,2
2,2,47,24,4,4,14,0,1
2,4,61,33,8,2,9,7,2
2,1,75,42,6,6,12,7,2
2,2,59,33,8,4,4,10,0
1,4,57,39,4,4,10,0,0
2,4,56,33,8,2,6,7,0
1,2,45,39,2,0,4,0,0
2,1,54,36,8,2,6,2,0
2,1,78,42,8,6,12,8,2
2,2,65,33,8,6,8,8,2
2,1,65,27,6,8,12,10,2
2,1,60,30,8,4,14,4,0
2,1,74,33,8,6,14,10,3
2,4,55,21,8,6,10,10,0
1,2,43,27,8,0,6,2,0
1,4,59,33,4,4,14,2,2
1,1,63,36,8,2,14,3,0
