Dimension 1,Dimension 2,Dimension 3,Label
-4.5474544,-1.7560285,4.365694,-0.9447802202203823
-9.669868,1.7949783,2.3579566,-0.9447802202203823
-2.5239685,4.4596286,2.9997349,1.2652319908214473
4.393278,3.8981228,2.4245977,1.2652319908214473
4.36484,4.1191564,1.8667874,1.2652319908214473
-1.4248389,-0.20414095,-2.0866637,1.2652319908214473
0.6236787,-2.266583,3.8495543,1.2652319908214473
5.9104857,-0.48022085,-4.2714353,1.2652319908214473
4.121212,3.9039893,-0.10384465,1.2652319908214473
5.887998,-4.111652,-3.1523106,1.2652319908214473
-3.835928,1.2760582,3.282441,1.2652319908214473
-3.055878,-2.770166,3.1767156,1.2652319908214473
5.5508275,-3.8229454,-4.4192348,1.2652319908214473
-2.5175176,-0.39354017,2.1808481,-0.9447802202203823
1.9887586,-2.310391,2.8007894,-0.2081094832064391
-0.81543124,-4.1016483,-0.10750306,1.2652319908214473
-4.1001625,4.8333116,1.2664373,-0.9447802202203823
1.2778025,4.681414,3.3112128,-0.9447802202203823
3.763783,-0.0061679175,-2.380339,-0.2081094832064391
1.8748053,1.4981629,-0.86557364,-0.9447802202203823
4.511196,-5.0808997,-5.3927145,1.2652319908214473
-2.164766,-0.96856904,2.840611,-0.9447802202203823
7.608535,0.2672152,-1.4112066,1.2652319908214473
3.4342248,-0.14232345,-3.1777613,-0.2081094832064391
-1.3400264,-4.232633,-5.5879974,-0.2081094832064391
-6.7802386,-1.3092097,3.689715,1.2652319908214473
-4.959573,1.9416612,0.21301003,-0.9447802202203823
-1.969671,2.972662,4.368342,1.2652319908214473
-0.5664832,-3.9919615,-6.1773753,-0.9447802202203823
0.05369664,5.772691,2.5267422,-0.2081094832064391
6.281659,0.13449629,-4.0875444,1.2652319908214473
1.0848447,5.646988,2.4352372,1.2652319908214473
3.2414174,4.134185,0.7685435,-0.9447802202203823
-5.457735,1.7779212,0.07203411,-0.9447802202203823
-2.8605769,4.7136683,2.1291342,-0.2081094832064391
0.45141032,-5.9190235,-4.4799986,-0.9447802202203823
0.61008114,-1.9563335,0.4541278,-0.9447802202203823
-7.1862006,0.298959,3.2416525,-0.9447802202203823
-0.2727001,-5.1999073,1.4761058,1.2652319908214473
5.1265426,3.4924605,1.3302276,-0.2081094832064391
4.979187,-1.8380785,-3.1916337,1.2652319908214473
1.4300452,0.49833092,-0.4397144,-0.9447802202203823
6.471319,3.0880508,-0.6337062,-0.2081094832064391
-9.269032,1.9962647,0.8084968,-0.9447802202203823
7.2540236,-0.7017017,-2.3436065,1.2652319908214473
2.1687226,2.1074643,-1.4847425,1.2652319908214473
0.7668097,-2.3676853,0.80073357,1.2652319908214473
-4.2278943,3.1815963,-1.9604897,-0.9447802202203823
-7.5970545,2.5421882,1.6483701,-0.9447802202203823
5.9194345,-1.0090342,-3.52292,-0.9447802202203823
1.6729823,4.97554,0.67585754,-0.9447802202203823
6.71973,-4.1813364,-3.5447402,-0.9447802202203823
-6.7959924,-1.2204144,3.492732,-0.9447802202203823
1.6138587,-5.6348677,-3.939292,1.2652319908214473
-6.3292694,0.8648418,-1.3036214,-0.9447802202203823
5.2387495,3.6249423,1.5835946,1.2652319908214473
