Programme,MCQ,Q1,Q2,Q3,Q4,Q5
1,36,8,2,14,3,0
2,33,6,0,4,5,0
1,45,8,6,12,10,4
4,30,4,2,10,0,0
4,42,8,0,12,2,0
4,30,0,2,8,0,1
4,27,8,4,14,5,0
2,18,6,0,4,4,1
1,42,8,8,14,4,2
1,39,8,4,14,10,2
1,42,8,8,14,10,3
1,33,8,6,14,8,2
1,33,4,4,14,0,0
1,39,8,4,6,4,0
1,24,4,0,12,8,0
1,33,8,6,12,10,2
4,27,6,6,10,10,1
1,42,8,6,14,7,3
1,48,8,6,14,8,2
4,27,8,0,5,0,0
1,36,8,2,14,10,0
1,48,6,8,12,10,2
4,36,8,4,10,5,3
4,18,2,0,2,0,0
1,51,8,4,14,10,2
1,51,8,6,14,10,2
1,51,8,6,14,10,1
1,33,8,2,14,7,0
1,45,6,6,14,8,2
1,33,8,6,14,8,2
1,39,8,4,14,10,2
1,45,8,8,14,4,2
1,45,8,6,12,8,2
2,15,6,4,0,0,0
2,36,8,4,12,10,3
2,30,8,4,2,2,1
1,36,6,4,12,10,0
1,39,8,6,14,7,1
2,36,8,2,14,8,2
1,30,8,8,12,7,0
1,45,8,6,14,7,3
1,45,8,4,14,10,2
2,30,4,0,6,10,0
2,30,0,0,12,2,0
1,36,8,4,10,9,2
2,45,8,0,12,7,0
1,51,8,6,14,8,2
2,45,6,4,4,0,0
4,33,8,4,14,10,0
2,33,4,2,12,3,0
1,42,8,4,10,8,3
1,45,8,6,14,10,0
1,30,6,6,4,5,3
1,42,8,4,14,10,3
1,30,8,6,8,2,1
1,42,8,6,14,8,3
2,45,8,6,14,10,2
2,39,8,4,14,7,2
1,39,4,4,13,4,0
1,45,6,6,12,10,2
1,48,8,4,14,9,5
1,33,8,4,14,10,1
1,33,8,4,6,10,0
1,48,6,6,14,7,2
4,21,8,6,6,10,2
4,45,8,8,14,2,2
1,42,8,8,14,10,0
2,27,8,2,14,5,0
1,33,8,2,14,5,1
4,27,6,2,8,0,0
4,33,2,2,6,2,0
2,24,6,6,14,10,0
1,36,8,4,14,7,1
1,39,8,4,12,8,0
2,21,4,0,6,0,0
4,30,4,0,4,4,0
1,39,8,4,12,5,1
4,39,8,6,14,8,2
4,42,6,2,8,7,1
2,45,8,0,12,0,0
1,36,8,2,14,7,0
4,18,4,2,8,9,0
4,36,2,2,14,8,2
1,36,8,2,14,10,0
4,27,4,4,12,5,0
4,33,8,4,6,8,0
1,39,8,8,8,6,0
1,45,8,4,14,8,2
4,21,8,4,14,2,0
4,36,6,2,14,8,0
1,42,8,6,14,7,3
4,18,4,2,14,2,0
1,39,8,4,8,9,3
4,21,0,2,4,7,0
1,39,8,6,14,7,2
2,33,8,4,14,10,4
4,30,4,4,14,2,0
4,27,8,0,8,7,2
1,42,8,4,12,0,0
1,45,4,4,12,8,0
4,24,8,2,7,0,0
1,36,8,2,6,10,0
4,36,4,2,0,4,0
2,33,8,4,14,5,0
4,30,2,2,4,0,2
2,21,4,0,2,0,0
1,30,8,4,14,7,0
4,24,8,0,4,2,0
1,42,6,2,14,8,1
2,33,4,0,14,3,0
4,24,4,4,14,10,0
4,24,8,2,6,0,1
2,24,4,0,6,0,0
4,33,6,2,14,0,0
4,24,6,6,10,5,0
4,33,4,0,8,0,0
4,24,6,4,8,0,0
2,21,8,2,8,7,1
4,24,8,4,6,0,0
4,27,4,2,12,0,0
1,30,8,2,2,0,0
2,27,8,2,14,0,0
2,24,4,4,12,2,0
4,27,4,4,10,2,0
4,39,8,6,14,4,0
4,27,8,6,14,2,2
4,21,8,2,14,2,0
1,33,8,4,14,7,2
1,39,8,4,12,7,1
1,39,8,6,14,10,2
1,24,8,6,14,2,0
4,27,4,0,8,8,0
1,48,6,6,14,7,2
1,51,6,8,14,10,6
2,30,8,0,14,6,0
1,48,8,8,8,10,2
1,45,8,4,14,8,6
1,36,8,6,14,7,3
4,36,8,2,14,9,2
1,36,8,6,14,10,3
4,36,6,2,14,10,2
2,6,0,0,2,2,6
1,33,0,8,14,10,2
1,33,8,6,14,8,0
1,39,8,8,14,10,1
1,42,6,2,12,2,0
1,48,8,8,14,4,2
1,27,8,4,14,4,2
4,30,6,4,2,10,2
4,39,8,6,14,10,0
1,51,8,6,14,7,2
4,45,4,0,14,7,3
4,48,8,4,14,2,0
2,15,8,0,2,0,0
2,39,8,4,14,10,0
4,18,8,0,14,7,0
4,27,8,2,10,7,4
2,30,4,2,10,8,0
2,30,2,4,2,10,2
2,36,6,0,8,0,0
4,27,4,4,8,0,0
4,24,4,2,12,6,0
4,36,8,2,6,4,0
4,30,8,0,6,0,0
4,27,6,2,10,2,0
4,27,8,2,14,0,0
4,27,8,4,12,0,2
4,36,8,4,14,8,0
4,33,6,0,6,2,0
4,42,8,2,14,0,0
4,33,2,2,8,0,0
1,24,6,8,14,4,0
4,45,8,8,8,1.5,3
2,42,6,0,2,4,0
1,45,6,8,14,7,2
2,45,8,8,14,4,3
4,27,8,6,6,10,0
1,36,8,2,12,8,2
4,42,4,2,12,8,0
4,36,8,4,14,2,0
1,27,8,6,14,8,0
2,15,4,2,4,2,0
2,30,8,2,6,2,1
1,39,8,0,4,10,2
1,30,8,8,12,10,2
1,48,8,6,13,10,3
2,30,0,4,14,2,0
1,39,8,2,14,8,2
4,30,8,4,14,2,0
4,18,0,0,8,2,0
4,30,8,0,12,2,2
4,39,8,2,10,0,0
1,36,6,6,12,2,0
4,33,8,2,14,9,0
2,39,8,2,9,2,0
4,27,2,0,8,10,0
2,18,4,2,14,8,0
4,36,8,8,12,7,1
1,39,8,6,12,3,2
1,24,8,2,6,4,0
1,48,8,6,14,10,3
2,27,8,2,12,0,1
2,51,8,2,8,10,2
1,36,6,2,14,10,1
1,45,8,4,14,8,3
4,27,8,6,14,2,0
1,48,8,8,12,8,3
2,33,8,2,14,9,2
1,39,8,8,14,9,3
2,33,6,2,0,5,0
2,36,8,4,12,10,3
4,24,8,6,6,10,2
4,30,2,8,14,2,2
4,36,8,6,12,4,0
4,24,8,6,2,2,0
2,48,8,8,12,10,6
4,42,4,4,12,0,0
1,48,8,6,14,9,6
4,27,4,0,2,0,0
1,39,8,6,4,0,0
2,39,0,0,2,0,0
2,18,8,2,14,2,0
4,27,8,2,14,2,0
4,27,4,2,8,0,0
4,33,8,0,9,9,1
4,42,4,4,10,0,0
4,33,6,2,0,0,0
2,42,0,0,8,4,0
4,42,6,4,14,8,1
2,33,0,6,10,4,0
4,21,4,2,14,0,1
4,21,8,6,14,8,0
2,39,8,4,5,5,0
4,27,8,8,14,10,2
2,42,8,6,14,10,2
1,54,8,6,14,10,0
2,33,8,0,6,2,0
4,27,6,0,0,0,0
1,33,6,4,4,8,0
4,27,6,4,4,0,0
1,36,8,8,11,10,0
1,42,8,8,6,10,3
1,12,4,0,4,2,0
