Index,Gender,Programme,Grade,Total,MCQ,Q1,Q2,Q3,Q4,Q5
228,2,1,2,70.5,33,6,8,14,7.5,2
229,1,4,2,64,39,6,0,14,5,0
230,1,2,2,37,27,4,0,6,0,0
231,2,2,2,59,33,8,0,10,8,0
232,1,2,2,72,39,8,4,14,7,0
233,1,4,2,47,21,8,4,14,0,0
234,2,4,2,40,24,4,0,10,2,0
235,1,4,2,41,27,6,0,6,0,2
236,2,4,2,58,42,8,2,2,4,0
237,2,1,2,75,39,8,6,14,8,0
238,1,4,2,50,30,4,0,14,0,2
239,1,4,2,52,36,8,0,8,0,0
240,2,4,2,69,33,8,4,14,7,3
241,1,4,2,91,51,8,8,14,8,2
242,2,1,2,63,30,6,8,14,4,1
243,1,4,2,53,27,8,2,14,2,0
244,1,4,2,78,42,8,6,14,7,1
245,1,2,2,40,21,8,0,11,0,0
246,1,4,2,41,27,4,2,8,0,0
247,2,4,2,64,30,8,8,14,4,0
248,1,4,2,35,21,2,0,10,2,0
249,1,4,2,64,36,8,4,14,0,2
250,1,1,2,48,24,4,4,14,2,0
251,1,4,2,64,30,8,2,14,8,2
252,1,4,2,48,36,8,0,4,0,0
253,1,4,2,50,36,4,2,4,4,0
254,2,1,2,100,54,8,8,14,10,6
255,1,4,2,65,27,8,4,14,10,2
256,1,4,2,43,27,0,4,10,2,0
257,1,4,2,68,33,8,2,14,8,3
258,1,4,2,82,42,8,6,14,10,2
259,1,4,2,60,30,8,0,14,7,1
260,2,1,2,81,42,8,4,14,9,4
261,2,4,2,49,24,8,2,4,8,3
262,2,1,2,90,48,8,8,14,10,2
263,2,2,2,68,30,8,0,14,10,6
264,1,2,2,59,27,6,4,14,8,0
265,2,1,2,95,54,8,8,14,8,3
266,2,1,2,84,51,8,6,10,9,0
267,2,1,2,73,39,8,6,14,4,2
268,2,2,2,57,21,8,2,10,10,6
269,1,1,2,52,30,6,4,10,2,0
270,2,4,2,11,9,0,0,2,0,0
271,2,4,2,85,51,8,8,14,2,2
272,2,1,2,84,45,8,8,13,8,2
273,1,4,2,57,24,8,8,8,7,2
274,2,1,2,64,27,8,4,14,8,3
275,1,1,2,75,45,4,6,14,4,2
276,2,1,2,100,54,8,8,14,10,6
277,2,2,2,57,24,8,6,14,7,0
278,2,4,2,65,36,8,4,14,2,1
279,2,1,2,75,45,8,6,14,0,2
280,2,2,2,64,33,8,4,12,7,0
281,1,2,2,76,42,8,4,12,8,2
282,1,4,2,55,21,8,2,14,10,0
283,1,1,2,85,48,8,6,14,8,1
284,2,2,2,75,42,8,4,14,5,2
285,1,1,2,67,39,6,6,4,10,2
286,2,2,2,40,24,4,4,6,2,0
287,2,4,2,47,24,8,6,4,5,0
288,2,2,2,35,18,6,0,2,9,0
289,2,1,2,83,45,8,4,14,10,2
290,2,4,2,53,39,4,0,10,0,0
291,2,1,2,82,48,8,4,14,7,1
292,2,4,2,47,33,2,4,8,0,0
293,2,2,2,67,36,8,0,14,7,2
294,1,1,2,83,45,8,6,14,10,0
295,1,1,2,63,30,8,4,14,7,0
296,1,4,2,32,24,0,2,4,2,0
297,1,4,2,32,18,4,0,8,2,0
298,1,4,2,49,21,8,2,14,4,0
299,2,2,2,60,36,8,2,14,0,0
300,2,2,2,85,45,8,4,14,10,4
301,2,2,2,67,33,6,6,12,10,0
302,1,2,2,57,33,8,2,4,10,0
303,1,1,2,61,30,6,6,14,5,0
304,2,1,2,82,48,8,6,14,6,0
305,1,2,2,48,30,0,4,14,0,0
306,1,2,2,52,30,8,4,8,2,0
307,1,2,2,53,39,4,4,4,2,0
308,1,4,2,71,36,8,2,14,9,2
309,2,4,2,75,33,8,8,12,10,4
310,2,1,2,83,45,8,8,12,8,2
311,2,1,2,55,33,8,6,2,6,0
312,2,1,2,78,39,8,6,13,10,2
313,1,1,2,87,48,8,6,14,8,3
314,2,1,2,80,42,6,6,14,10,2
315,2,1,2,71,36,8,2,13,10,2
316,2,1,2,77,42,6,4,14,9,2
317,1,4,2,43,27,0,2,12,2,0
318,1,4,2,63,27,8,4,12,10,2
319,1,1,2,65,33,4,6,14,8,0
320,2,1,2,79,42,8,6,14,8,1
321,2,1,2,83,45,8,4,14,10,2
322,2,1,2,60,24,8,4,14,8,2
323,2,1,2,83,39,8,6,14,10,6
324,2,4,2,64,36,8,4,6,8,2
325,2,4,2,43,27,8,2,4,2,0
326,2,4,2,54,30,8,8,8,0,0
327,2,4,2,41,24,6,0,2,9,0
328,1,4,2,47,27,8,2,2,8,0
329,1,4,2,44,30,8,2,4,0,0
330,2,4,2,77,45,8,6,14,4,0
331,2,4,2,53,24,8,0,14,7,0
332,1,1,2,83,48,6,6,7,10,6
333,1,4,2,60,39,4,4,13,0,0
334,2,4,2,53,33,8,0,8,4,0
335,2,4,2,45,15,6,2,10,10,2
336,1,4,2,49,21,4,2,14,8,0
337,1,4,2,41,27,8,0,2,4,0
338,2,4,2,71,39,8,2,14,5,3
339,1,4,2,62,27,8,4,14,8,1
340,1,4,2,62,33,4,2,14,9,0
341,1,1,2,75,42,8,2,14,8,1
342,2,2,2,47,18,8,2,14,5,0
343,2,4,2,66,30,8,6,14,8,0
344,2,1,2,76,45,8,6,6,9,2
345,1,2,2,38,24,0,0,14,0,0
346,1,1,2,47,24,8,4,4,7,0
347,2,2,2,50,30,6,0,14,0,0
348,1,2,2,65,45,8,0,12,0,0
349,1,1,2,63,39,8,2,12,2,0
350,1,4,2,62,33,4,4,10,10,1
351,2,4,2,40,21,8,2,7,0,2
352,2,1,2,70,36,8,2,14,9,1
353,2,4,2,39,27,4,2,6,0,0
354,2,4,2,41,21,2,0,14,4,0
355,2,4,2,43,27,6,2,8,0,0
356,2,2,2,54,30,6,0,14,4,0
357,2,2,2,75,42,6,8,11,6,2
358,1,4,2,68,30,8,6,12,10,2
359,1,1,2,74,39,8,6,12,7,2
360,2,2,2,47,24,4,4,14,0,1
361,2,4,2,61,33,8,2,9,7,2
362,2,1,2,75,42,6,6,12,7,2
363,2,2,2,59,33,8,4,4,10,0
364,1,4,2,57,39,4,4,10,0,0
365,2,4,2,56,33,8,2,6,7,0
366,1,2,2,45,39,2,0,4,0,0
367,2,1,2,54,36,8,2,6,2,0
368,2,1,2,78,42,8,6,12,8,2
369,2,2,2,65,33,8,6,8,8,2
370,2,1,2,65,27,6,8,12,10,2
371,2,1,2,60,30,8,4,14,4,0
372,2,1,2,74,33,8,6,14,10,3
373,2,4,2,55,21,8,6,10,10,0
374,1,2,2,43,27,8,0,6,2,0
375,1,4,2,59,33,4,4,14,2,2
376,1,1,2,63,36,8,2,14,3,0
377,2,2,2,48,33,6,0,4,5,0
378,2,1,2,85,45,8,6,12,10,4
379,2,4,2,46,30,4,2,10,0,0
380,1,4,2,64,42,8,0,12,2,0
381,1,4,2,41,30,0,2,8,0,1
382,1,4,2,58,27,8,4,14,5,0
383,2,2,2,33,18,6,0,4,4,1
384,2,1,2,78,42,8,8,14,4,2
385,2,1,2,77,39,8,4,14,10,2
386,2,1,2,85,42,8,8,14,10,3
387,2,1,2,71,33,8,6,14,8,2
388,2,1,2,55,33,4,4,14,0,0
389,2,1,2,61,39,8,4,6,4,0
390,2,1,2,48,24,4,0,12,8,0
391,2,1,2,71,33,8,6,12,10,2
392,2,4,2,60,27,6,6,10,10,1
393,1,1,2,80,42,8,6,14,7,3
394,1,1,2,86,48,8,6,14,8,2
395,1,4,2,40,27,8,0,5,0,0
396,2,1,2,70,36,8,2,14,10,0
397,2,1,2,86,48,6,8,12,10,2
398,1,4,2,66,36,8,4,10,5,3
399,2,4,2,22,18,2,0,2,0,0
400,1,1,2,89,51,8,4,14,10,2
401,2,1,2,91,51,8,6,14,10,2
402,2,1,2,90,51,8,6,14,10,1
403,1,1,2,64,33,8,2,14,7,0
404,2,1,2,81,45,6,6,14,8,2
405,1,1,2,71,33,8,6,14,8,2
406,1,1,2,77,39,8,4,14,10,2
407,2,1,2,81,45,8,8,14,4,2
408,2,1,2,81,45,8,6,12,8,2
409,2,2,2,25,15,6,4,0,0,0
410,2,2,2,73,36,8,4,12,10,3
411,2,2,2,47,30,8,4,2,2,1
412,2,1,2,68,36,6,4,12,10,0
413,2,1,2,75,39,8,6,14,7,1
414,2,2,2,70,36,8,2,14,8,2
415,2,1,2,65,30,8,8,12,7,0
416,2,1,2,83,45,8,6,14,7,3
417,2,1,2,83,45,8,4,14,10,2
418,1,2,2,50,30,4,0,6,10,0
419,1,2,2,44,30,0,0,12,2,0
420,1,1,2,69,36,8,4,10,9,2
421,2,2,2,72,45,8,0,12,7,0
422,1,1,2,89,51,8,6,14,8,2
423,2,2,2,59,45,6,4,4,0,0
424,2,4,2,69,33,8,4,14,10,0
425,2,2,2,54,33,4,2,12,3,0
426,2,1,2,75,42,8,4,10,8,3
427,2,1,2,83,45,8,6,14,10,0
428,2,1,2,54,30,6,6,4,5,3
429,2,1,2,81,42,8,4,14,10,3
430,2,1,2,55,30,8,6,8,2,1
431,1,1,2,81,42,8,6,14,8,3
432,1,2,2,85,45,8,6,14,10,2
433,2,2,2,74,39,8,4,14,7,2
434,1,1,2,64,39,4,4,13,4,0
435,2,1,2,81,45,6,6,12,10,2
436,2,1,2,88,48,8,4,14,9,5
437,2,1,2,70,33,8,4,14,10,1
438,2,1,2,61,33,8,4,6,10,0
439,2,1,2,83,48,6,6,14,7,2
440,2,4,2,53,21,8,6,6,10,2
441,1,4,2,79,45,8,8,14,2,2
442,1,1,2,82,42,8,8,14,10,0
443,2,2,2,56,27,8,2,14,5,0
444,2,1,2,63,33,8,2,14,5,1
445,2,4,2,43,27,6,2,8,0,0
446,1,4,2,45,33,2,2,6,2,0
447,1,2,2,60,24,6,6,14,10,0
448,2,1,2,70,36,8,4,14,7,1
449,2,1,2,71,39,8,4,12,8,0
450,2,2,2,31,21,4,0,6,0,0
451,1,4,2,42,30,4,0,4,4,0
452,2,1,2,69,39,8,4,12,5,1
453,1,4,2,77,39,8,6,14,8,2
454,2,4,2,66,42,6,2,8,7,1
455,2,2,2,65,45,8,0,12,0,0
456,2,1,2,67,36,8,2,14,7,0
457,1,4,2,41,18,4,2,8,9,0
458,2,4,2,64,36,2,2,14,8,2
459,2,1,2,70,36,8,2,14,10,0
460,2,4,2,52,27,4,4,12,5,0
461,2,4,2,59,33,8,4,6,8,0
462,2,1,2,69,39,8,8,8,6,0
463,1,1,2,81,45,8,4,14,8,2
464,2,4,2,49,21,8,4,14,2,0
465,1,4,2,66,36,6,2,14,8,0
466,1,1,2,80,42,8,6,14,7,3
467,1,4,2,40,18,4,2,14,2,0
468,2,1,2,71,39,8,4,8,9,3
469,2,4,2,34,21,0,2,4,7,0
470,2,1,2,76,39,8,6,14,7,2
471,2,2,2,73,33,8,4,14,10,4
472,2,4,2,54,30,4,4,14,2,0
473,1,4,2,52,27,8,0,8,7,2
474,2,1,2,66,42,8,4,12,0,0
475,2,1,2,73,45,4,4,12,8,0
476,2,4,2,41,24,8,2,7,0,0
477,2,1,2,62,36,8,2,6,10,0
478,2,4,2,46,36,4,2,0,4,0
479,2,2,2,64,33,8,4,14,5,0
480,1,4,2,40,30,2,2,4,0,2
481,1,2,2,27,21,4,0,2,0,0
482,1,1,2,63,30,8,4,14,7,0
483,1,4,2,38,24,8,0,4,2,0
484,2,1,2,73,42,6,2,14,8,1
